Period,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Monaco,No data,No data,No data,No data,No data,1,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Montenegro,No data,No data,No data,No data,No data,No data,4,6,5,3,4,No data,No data,1,3,3,1,4,2
Morocco,73,66,48,67,91,106,106,92,81,85,111,113,107,139,134,163,160,170,114
Nepal,168,245,240,206,185,208,244,237,217,311,325,575,886,708,824,1371,1433,1531,1463
Nicaragua,No data,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1
Niger,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Nigeria,0,0,No data,0,0,0,0,0,0,0,0,57,0,0,0,0,1,0,2
North Macedonia,No data,No data,No data,No data,No data,12,9,5,4,11,20,13,2,12,4,7,7,9,7
Oman,No data,0,0,0,0,0,2,No data,1,0,No data,1,0,1,1,0,1,0,2
Pakistan,No data,No data,No data,No data,No data,No data,No data,No data,No data,7,7,14,10,No data,No data,No data,No data,No data,No data
Paraguay,95,72,55,26,22,19,34,64,92,118,107,76,114,144,82,54,70,66,21
Portugal,6,1,2,2,2,5,4,8,0,0,8,5,13,17,11,14,23,10,13
Romania,No data,No data,No data,No data,No data,0,1,1,1,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Saudi Arabia,0,0,0,0,0,1,4,4,3,10,5,8,7,8,17,32,41,31,31
Senegal,0,0,0,No data,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Serbia,No data,No data,No data,No data,No data,No data,0,0,0,No data,2,1,2,No data,No data,No data,No data,No data,No data
Slovenia,No data,No data,No data,0,0,0,0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Somalia,712,793,831,471,294,411,857,780,1165,1045,936,394,290,No data,507,583,No data,No data,No data
South Sudan,778,1074,792,827,1013,1867,3567,4285,2840,7472,2364,4353,10468,9166,1907,582,758,1117,3141
Spain,36,No data,52,49,78,69,196,176,No data,106,276,213,235,153,179,193,255,246,199
Sri Lanka,No data,No data,No data,No data,No data,No data,No data,No data,0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data
Sudan,3571,4233,3323,2563,2851,2711,3894,3810,2829,3415,2389,5153,7418,6957,4880,3310,2788,1827,3713
Syrian Arab Republic,37,24,29,22,47,38,55,25,20,36,30,17,18,19,16,17,11,3,19
Türkiye,No data,No data,No data,No data,No data,No data,No data,23,23,22,33,13,30,36,23,13,41,20,32
Tajikistan,No data,No data,14,No data,15,32,23,25,26,47,63,46,25,40,53,15,14,19,14
Thailand,1,0,2,0,0,1,1,0,1,0,2,5,1,2,1,4,2,1,No data
Tunisia,15,19,14,28,27,23,23,17,30,44,38,37,55,36,55,63,100,121,120
Turkmenistan,1,1,0,0,0,0,0,1,0,0,0,0,0,No data,No data,No data,No data,No data,No data
Uganda,195,264,129,55,101,29,31,35,34,32,141,86,77,78,72,200,38,0,504
Ukraine,No data,No data,No data,0,0,No data,0,1,0,0,0,2,1,1,No data,2,3,3,1
United Republic of Tanzania,No data,No data,1,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Uruguay,No data,2,0,2,0,1,0,0,0,0,0,No data,No data,No data,No data,No data,No data,No data,No data
Uzbekistan,No data,No data,No data,47,41,34,49,38,34,42,37,38,28,25,26,13,5,1,6
Venezuela (Bolivarian Republic of),7,32,30,6,23,43,40,33,37,9,7,9,15,15,15,18,17,41,58
Yemen,240,214,286,450,132,56,44,0,5,15,No data,No data,0,No data,0,No data,No data,No data,No data
Zambia,No data,No data,No data,No data,No data,No data,0,0,0,0,0,0,0,No data,No data,No data,No data,No data,No data
