Period,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005
Malta,No data,No data,No data,1,0,4,1,0,No data,No data,0,0,1,11,No data,16,13,3,4
Mauritania,531,715,248,248,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Mexico,1422,1281,505,324,1014,576,841,444,479,418,970,567,342,456,387,284,443,431,861
Monaco,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Montenegro,No data,No data,No data,No data,No data,No data,0,0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Morocco,2324,2261,3141,3774,5455,11834,6802,4903,2809,2555,2592,2877,4319,8707,6013,5128,3290,3361,3039
Namibia,0,0,No data,No data,No data,No data,0,0,0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data
Nepal,60,7,0,12,16,19,4,1,0,0,0,0,0,0,0,1,0,0,0
Nicaragua,1532,2423,1251,3443,3321,3722,4343,5423,1925,1649,3035,1884,3146,3497,4047,5826,3719,2125,3521
Niger,152,5,605,644,No data,521,600,107,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Nigeria,0,0,1,1,5,3,55,No data,0,5,0,0,95,No data,No data,7,6,4,8
North Macedonia,No data,No data,No data,No data,No data,0,0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Oman,0,0,0,0,0,0,1,1,0,0,No data,2,0,3,4,7,6,4,8
Pakistan,59255,24086,35188,37402,53574,19361,8024,27151,16647,14634,3717,6598,12938,1387,3731,3631,4390,4151,10441
Panama,1294,1339,1286,938,920,1142,1164,1198,930,1581,1762,1811,3221,3221,1866,2109,2199,3774,1649
Paraguay,56,59,53,54,51,84,92,134,122,124,162,177,184,262,251,92,535,457,591
Peru,5204,5756,5201,4178,5349,6057,6601,7271,5459,6231,6948,6969,11204,7612,6513,7650,10183,8248,8067
Portugal,No data,No data,1,No data,No data,2,2,0,0,0,1,1,2,No data,No data,No data,No data,No data,No data
Saudi Arabia,975,528,600,1035,1096,921,1007,1337,1490,2190,1988,1464,1951,4129,2549,2321,3286,3602,3883
Senegal,29,31,52,64,39,6,17,44,32,35,No data,No data,No data,No data,No data,9,10,8,5
Slovenia,No data,No data,No data,1,No data,0,0,0,0,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Spain,34,No data,43,37,70,35,165,167,40,100,No data,18,10,10,10,16,6,6,16
Sri Lanka,4300,3107,No data,2217,3259,2189,980,883,1283,1367,No data,No data,No data,148,326,399,384,291,234
